activity_name,category,group,person,partners,school_codes,description,website
Distributed Leadership Projects,"Consulting, Professional Development",PCEL,John DeFlaminis,,"1290, 1420, ",Distributed leadership projects with ongoing consultation,
Ongoing Assessment Project (OGAP),"Research, Professional Development ",CPRE,Caroline B. Ebby,,"7390, 6440, 1250, 7260, 6220, 8390, 2540, 6210, 2590, 5210, 5300, 8310, 7320, 5560, 6360, 8440, 3412, 2580, 2630, 7370, 3323, 3326, 3410, ","Ongoing Assessment Project (OGAP), a multi-university, multi-site professional development intervention and formative assessment project",http://cpre.org/ogap
Student Thinking in Mathematics Project,"Research, Professional Development ",TLL,Caroline B. Ebby,,"3341,1280,  ",Working with teachers of grades 3-5 to analyze student work to inform mathematics instruction ,
Math Consultation,Consulting,TLL,Caroline B. Ebby,,1280,Professional development in mathematics,
InterCultural Communication Service Learning ,"Training, Service Learning",ELX,Jackie Lopez,,3304,"Master's students provide in-class academic support (teaching assistants) in Math, Social Studies, English, etc.",http://www.gse.upenn.edu/elx/icc
TESOL Placement,Training,ELX,Jackie Lopez,,"2510, 2000, 3304, 1280, 3409, 2640, 5170, 8020, 8350, 2640, ",Placement of master's student teachers with cooperating TESOL teachers,https://www.gse.upenn.edu/elx/tesol
EPIC,Professional Development ,,John Fantuzzo,,"6200, 1200, 8270, 2720, 1340, 4220, 1280, ","Evidence-based Program for the Integration of Curriula (EPIC) is an integrated assessment, curriculum, and professional development program for early childhood education in urban, low-income schools ",http://www2.gse.upenn.edu/child/projects/epic
ABCS,"Training, Service Learning",APHD,John Fantuzzo,,"6200, 1200, 8270, 2720, 1340, 4220, 1280, ","Academically-based community service course on child development, placing students in public schools to learn about development in context",
TFA Field Placements,Training,TFA,Mary Del Savio,,"8140, 3419, 3388, 3317, 3372, 3397, 3333, 7010, 3337, 3309, 3396, 3332, 3415, 3407, 3361, 3393, 3416, 3426, 3335, 3399, 3392, 3424, 3421, 3418, 3303, 3412, 3425, 3318, 3420, 3383, 3385, 3394, 3417, 3380, 3326, 5530, 1130, 4140, 4570, 5160, 6060, 1470, 2010, 3388
3422, 3333, 3320, 5550, 3414, 3317",Placements for master's students in the  PennGSE/Teach for America program,http://www.gse.upenn.edu/tfa/partnerships
Win/Win Program,Consulting,,Judy Brody,,"1260, 2630, 1440, 1130, ","An incentive-based, positive recognition program designed to reinforce the skills necessary to student success at school and beyond. The program currently involves 2,600 middle school age students and their teachers in Philadelphia and Trenton.",http://saveamind.org/winwin-program/
College Access and Career Readiness Project,"Volunteer, Student Programs",HED,Ross Aikins,Netter Center for Community Partnerships,"1100, 1020",Master's students in Higher Ed volunteer with the Netter Center to provide high school students with college and career access opportunities,https://www.nettercenter.upenn.edu/programs/college-access-and-career-readiness
Research on Civic Engagement in High School,"Research, Student Programs",ECS,Sigal Ben-Porath ,,"1100, 3383","Research on civic opportunities available to high school students, with additional student programming offered based on research findings",
Mid Career Doctoral Program,Leadership,Mid-Career,,Noah Tennant,3388,Head of Upper School ,
Mid Career Doctoral Program,Leadership,Mid-Career,,Gene Jones,8030,Principal,
Mid Career Doctoral Program,Leadership,Mid-Career,,Jennifer Duffy,1340,Principal,
Mid Career Doctoral Program,Leadership,Mid-Career,,Patty Cruice,6450,Principal,
Mid Career Doctoral Program,Leadership,Mid-Career,,Parthenia Moore,6050,Principal,
Mid Career Doctoral Program,Leadership,Mid-Career,,Stacey Philips,3357,"Special Assistant to the CEO, Senior Vice President, Office of Human Resources",
Mid Career Doctoral Program,Leadership,Mid-Career,,Jala Olds-Pearson,3326,Principal,
Mid Career Doctoral Program,Leadership,Mid-Career,,Penny Nixon,3326,Senior Vice President for 6 Schools,
Training for Teachers in SDP Bilingual Schools,Professional Development ,ELX,Nelson Flores,,"5490, 7380, 7440, 5680, 5260, 2640, ","In partnership with SDP Office of Multilingual Programs, professional development is offered for all teachers in the 6 SDP Spanish bilingual schools",
Riepe College House Mentors Program,Student Programs,,Betsy Rhymes,,1390,Undergraduate students serve as mentors and tutors for local elementary school students,http://riepe.house.upenn.edu/mentors
